timestamp,ground_truth,markers,range,filtered
1724751467.360593,,,-0.005647793415722323,
1724751467.4589605,,,0.006018648715291208,
1724751467.5603335,,,0.00781365391947987,
1724751467.6610634,,,-0.0002575550627385182,
1724751467.7622125,,,-0.000651322068067225,
1724751467.8623214,,,-0.0008968592997609458,
1724751467.9651198,,,-0.006195112134098888,
1724751468.0665402,,,0.0043998843235513625,
1724751468.1353347,0.0006108321933622207,,,
1724751468.1694643,0.000618291578720509,,,
1724751468.1705997,,,-0.001850516599366284,
1724751468.1782613,,-0.0006327636063930043,,
1724751468.203957,0.0005971184624895542,,,
1724751468.2077274,,-0.0006327636063930043,,
1724751468.2265346,,,,-0.0012410269472732881
1724751468.2383115,0.0006095999887971715,,,
1724751468.2432487,,-0.0006327636063930043,,
1724751468.2715333,,,-0.003946823889673048,
1724751468.271956,0.000590524205061449,,,
1724751468.2770758,,-0.0006327636063930043,,
1724751468.3088634,,-0.0006327636063939019,,
1724751468.3106985,0.0005963631035887929,,,
1724751468.3266501,,,,-0.0022497150776213722
1724751468.3411312,,-0.0006327636063930043,,
1724751468.3422337,0.0005987992506932827,,,
1724751468.3733594,,,0.0002512507241006966,
1724751468.375124,0.0005804996354124015,,,
1724751468.377732,,-0.0006327636063939019,,
1724751468.409822,0.0005950823997835641,,,
1724751468.414303,,-0.0006327636063930043,,
1724751468.4265146,,,,-0.00042691300455332864
1724751468.4456658,,-0.0006327636063939019,,
1724751468.4468782,0.0005626010297250517,,,
1724751468.4735339,,,0.0020714987849200896,
1724751468.4787955,,-0.0006327636063939019,,
1724751468.4800856,0.0005651796940284726,,,
1724751468.514702,,-0.0006327636063939019,,
1724751468.5158212,0.0005646197461599556,,,
1724751468.5262122,,,,0.0006448774603033278
1724751468.5466852,0.000567317430367531,,,
1724751468.554769,,-0.0006327636063939019,,
1724751468.5737746,,,0.005177810170031637,
1724751468.5786128,,-0.0006327636063939019,,
1724751468.5809627,0.000542191472287179,,,
1724751468.6106873,,-0.0006327636063939019,,
1724751468.615907,0.0005552980259073692,,,
1724751468.6263795,,,,0.0021529041364687276
1724751468.646697,,-0.0006327636063939019,,
1724751468.6500523,0.0005439420123298788,,,
1724751468.6760898,,,-0.007725722246803483,
1724751468.6837304,,-0.0006327636063939019,,
1724751468.6850595,0.0005229186203443703,,,
1724751468.7154272,,-0.0006327636063939019,,
1724751468.7194722,0.0005389679808613934,,,
1724751468.7263508,,,,-0.0032113266075082217
1724751468.7494118,,-0.0006327636063939019,,
1724751468.7538054,0.0005389321456608087,,,
1724751468.777713,,,9.896721865610008e-06,
1724751468.7807581,,-0.0006327636063939019,,
1724751468.7885592,0.0005156963918881985,,,
1724751468.814788,,-0.0006327636063939019,,
1724751468.822751,0.0005331231228034028,,,
1724751468.8264408,,,,-0.0007764449773169389
1724751468.850093,,-0.0006327636063939019,,
1724751468.8574545,0.0005318652038370786,,,
1724751468.878833,,,-0.004795410970056552,
1724751468.8840249,,-0.0006327636063939019,,
1724751468.8916452,0.0005114557245624596,,,
1724751468.9166126,,-0.0006327636063939019,,
1724751468.9263997,0.0005251025850512292,,,
1724751468.9269156,,,,-0.0024233177923642345
1724751468.9517086,,-0.0006327636063939019,,
1724751468.9600587,0.0005109108912346727,,,
1724751468.9796941,,,0.010570171226799463,
1724751468.9842803,,-0.0006327636063939019,,
1724751468.9946,0.0005051885555156232,,,
1724751469.019469,,-0.0006327636063939019,,
1724751469.0261972,,,,0.003859481387218906
1724751469.0297046,0.0005246698705549946,,,
1724751469.0519998,,-0.0006327636063939019,,
1724751469.064122,0.0004890628308773515,,,
1724751469.0813296,,,0.007454632777258805,
1724751469.0851572,,-0.0006327636063939019,,
1724751469.0984554,0.0005156549161631219,,,
1724751469.119887,,-0.0006327636063939019,,
1724751469.1261725,,,,0.003587941838654586
1724751469.1325216,0.00048575901167158264,,,
1724751469.1530476,,-0.0006327636063939019,,
1724751469.1670535,0.00048357724960457205,,,
1724751469.181632,,,0.00023290412927458358,
1724751469.1868613,,-0.0006327636063939019,,
1724751469.2020674,0.0004912022396039717,,,
1724751469.2182512,,-0.0006327636063939019,,
1724751469.2263072,,,,0.0004590029573113922
1724751469.2365005,0.0004920357447062429,,,
1724751469.2568202,,-0.0006327636063939019,,
1724751469.2717166,0.00047002435643506146,,,
1724751469.283905,,,-0.004584965373887684,
1724751469.2916608,,-0.0006327636063939019,,
1724751469.3059454,0.0004836948839308519,,,
1724751469.3239396,,-0.0006327636063939019,,
1724751469.326063,,,,-0.002124030636193378
1724751469.3399823,0.00045775649039114796,,,
1724751469.3560143,,-0.0006327636063939019,,
1724751469.3749254,0.00047098650386612206,,,
1724751469.3862379,,,-0.004533847172328883,
1724751469.39103,,-0.0006327636063939019,,
1724751469.409254,0.0004598949860881163,,,
1724751469.423763,,-0.0006327636063939019,,
1724751469.4262598,,,,-0.002540889789266156
1724751469.4440038,0.00044316032822155904,,,
1724751469.4580026,,-0.0006327636063939019,,
1724751469.4786701,0.0004261542305394883,,,
1724751469.487628,,,-0.0009169068256579736,
1724751469.4929245,,-0.0006327636063939019,,
1724751469.5129664,0.00038580582266423136,,,
1724751469.5264518,,,,-0.0010759488612315127
1724751469.5275955,,-0.0032072530353700686,,
1724751469.5473244,0.0004096551213166322,,,
1724751469.5614092,,-0.0032072530353700686,,
1724751469.5816479,0.00042864418006516303,,,
1724751469.5893922,,,-0.0031840802845928126,
1724751469.5951748,,-0.0006327636063939019,,
1724751469.615762,0.0004241762081358402,,,
1724751469.6264615,,,,-0.0017845583498299427
1724751469.6269352,,-0.0006327636063939019,,
1724751469.6504328,0.00039510344105675443,,,
1724751469.6603951,,-0.0032072530353700686,,
1724751469.6849587,0.00040178928030432104,,,
1724751469.6904685,,,0.005580048138038238,
1724751469.6940978,,-0.0032072530353700686,,
