timestamp,markers,range,filtered
1724794921.1314292,,0.0583643913269043,
1724794921.303744,,0.056537628173828125,
1724794921.466164,,0.05320620536804199,
1724794921.5989819,,0.052495479583740234,
1724794921.7104475,,0.05245494842529297,
1724794921.8166785,,0.05219292640686035,
1724794921.836728,0.0145111083984375,,
1724794921.8769314,0.007536411285400391,,
1724794921.8889036,,,0.7577970027923584
1724794921.9379725,0.006336212158203125,,
1724794921.9388168,,0.05224490165710449,
1724794921.988876,,,0.05026865005493164
1724794921.992948,0.0064907073974609375,,
1724794922.0476825,,0.05358004570007324,
1724794922.0670834,0.006443977355957031,,
1724794922.0890625,,,0.09543323516845703
1724794922.1457133,0.006571292877197266,,
1724794922.1604972,,0.05249905586242676,
1724794922.1885517,,,0.0422670841217041
1724794922.2330956,0.006385326385498047,,
1724794922.271006,,0.05234265327453613,
1724794922.2884674,,,0.05483865737915039
1724794922.2957976,0.006674289703369141,,
1724794922.3559747,0.00661015510559082,,
1724794922.3893895,,0.05316662788391113,
1724794922.4304852,0.0070648193359375,,
1724794922.48852,,,0.19216084480285645
1724794922.4957573,0.0062639713287353516,,
1724794922.5063984,,0.0527341365814209,
1724794922.5556498,0.005838155746459961,,
1724794922.5885172,,,0.09235239028930664
1724794922.6167114,0.005941629409790039,,
1724794922.6177545,,0.052845001220703125,
1724794922.6717956,0.0062901973724365234,,
1724794922.6884148,,,0.07149124145507812
1724794922.7259672,,0.05249452590942383,
1724794922.7385354,0.00656890869140625,,
1724794922.788759,,,0.062183380126953125
1724794922.7985504,0.006556510925292969,,
1724794922.841123,,0.05280637741088867,
1724794922.858897,0.005183219909667969,,
1724794922.8883026,,,0.08939051628112793
1724794922.9071167,0.00574183464050293,,
1724794922.9532278,,0.052252769470214844,
1724794922.9589148,0.005690574645996094,,
1724794922.988198,,,0.0807793140411377
1724794923.0144045,0.005856990814208984,,
1724794923.053147,0.0053462982177734375,,
1724794923.0586967,,0.052032470703125,
1724794923.088115,,,0.07338809967041016
1724794923.1034675,0.00460052490234375,,
1724794923.152386,0.0049326419830322266,,
1724794923.1667702,,0.05211043357849121,
1724794923.1883366,,,0.0844881534576416
1724794923.1964266,0.004994392395019531,,
1724794923.2487805,0.004603862762451172,,
1724794923.2721677,,0.052277565002441406,
1724794923.2884238,,,0.09151911735534668
1724794923.2948852,0.005773782730102539,,
1724794923.3545053,0.004770994186401367,,
1724794923.3867674,,0.05304431915283203,
1724794923.3885114,,,0.09324073791503906
1724794923.4065366,0.005072832107543945,,
1724794923.4568036,0.005337238311767578,,
1724794923.4973168,,0.05216670036315918,
1724794923.5079238,0.005836963653564453,,
1724794923.562279,0.004972219467163086,,
1724794923.588333,,,0.1813054084777832
1724794923.6036317,,0.05191159248352051,
1724794923.612315,0.005265951156616211,,
1724794923.6565654,0.005255699157714844,,
1724794923.6886423,,,0.08443474769592285
1724794923.7036245,0.004689931869506836,,
1724794923.7109938,,0.052239418029785156,
1724794923.754679,0.00483393669128418,,
1724794923.7884998,,,0.08436036109924316
1724794923.8156536,0.006302595138549805,,
1724794923.8164961,,0.051926612854003906,
1724794923.868408,0.006314277648925781,,
1724794923.8885462,,,0.07235598564147949
1724794923.926555,,0.05316662788391113,
1724794923.9275014,0.006504535675048828,,
1724794923.982187,0.006094217300415039,,
1724794923.988639,,,0.06188225746154785
1724794924.0408607,,0.05246710777282715,
1724794924.0613115,0.006593227386474609,,
1724794924.0882993,,,0.04715466499328613
1724794924.1108503,0.006105661392211914,,
1724794924.1494145,,0.05254411697387695,
1724794924.163023,0.00554656982421875,,
1724794924.188436,,,0.07711076736450195
1724794924.217935,0.005890369415283203,,
1724794924.2585375,,0.05189776420593262,
1724794924.2692862,0.005252838134765625,,
1724794924.288457,,,0.07005953788757324
1724794924.33254,0.0049097537994384766,,
1724794924.3647323,,0.051809072494506836,
1724794924.3714223,0.004396200180053711,,
1724794924.388217,,,0.055383920669555664
1724794924.415629,0.005434274673461914,,
1724794924.464655,0.0050814151763916016,,
1724794924.469849,,0.0523836612701416,
1724794924.4883928,,,0.07225966453552246
1724794924.5187616,0.005494594573974609,,
1724794924.574603,0.005159139633178711,,
1724794924.5759497,,0.05207467079162598,
1724794924.5883045,,,0.06906270980834961
1724794924.6247938,0.005187273025512695,,
1724794924.6765597,0.005464792251586914,,
1724794924.681982,,0.05235886573791504,
1724794924.6881797,,,0.06302380561828613
1724794924.7261097,0.005272865295410156,,
1724794924.7804456,0.00518798828125,,
1724794924.7907767,,0.05224943161010742,
1724794924.844863,0.004607677459716797,,
1724794924.8883407,,,0.16181421279907227
1724794924.9067867,,0.05183577537536621,
1724794924.9404407,0.006392002105712891,,
1724794924.9884944,,,0.08118891716003418
1724794925.0082908,0.0049970149993896484,,
1724794925.0305429,,0.05240440368652344,
1724794925.0704656,0.00602412223815918,,
1724794925.088848,,,0.08001923561096191
1724794925.1480982,,0.0545041561126709,
1724794925.1584113,0.010426759719848633,,
1724794925.190442,,,0.03931403160095215
1724794925.232927,0.008975744247436523,,
1724794925.3041306,,0.05277657508850098,
1724794925.3063793,0.0057561397552490234,,
1724794925.3674512,0.005298614501953125,,
1724794925.3884192,,,0.15506672859191895
1724794925.420697,,0.0524141788482666,
1724794925.4214785,0.005135059356689453,,
1724794925.4679224,0.005686759948730469,,
1724794925.4885502,,,0.06734395027160645
1724794925.5299969,0.00604248046875,,
1724794925.5335815,,0.0523679256439209,
1724794925.588599,,,0.05815744400024414
1724794925.5892336,0.005789041519165039,,
1724794925.6481776,,0.05204415321350098,
1724794925.6567245,0.006811618804931641,,
1724794925.6887207,,,0.09901142120361328
1724794925.737358,0.00660252571105957,,
1724794925.7607985,,0.05309915542602539,
1724794925.7888515,,,0.051036834716796875
1724794925.789854,0.006470680236816406,,
1724794925.850515,0.0049898624420166016,,
1724794925.863282,,0.05218052864074707,
1724794925.8886628,,,0.09792137145996094
1724794925.8955588,0.006048679351806641,,
1724794925.950705,0.006626605987548828,,
1724794925.9668477,,0.051971435546875,
1724794925.9888706,,,0.09309172630310059
1724794925.9995508,0.005816221237182617,,
1724794926.049758,0.0048677921295166016,,
1724794926.0689762,,0.05183100700378418,
1724794926.0882082,,,0.0883946418762207
1724794926.09791,0.0052258968353271484,,
1724794926.151202,0.0056226253509521484,,
1724794926.1715465,,0.05193328857421875,
1724794926.1883903,,,0.09002065658569336
1724794926.2066925,0.004380464553833008,,
1724794926.2381475,0.0051534175872802734,,
1724794926.2733643,,0.051363468170166016,
1724794926.2838974,0.0051496028900146484,,
1724794926.2881777,,,0.08111882209777832
1724794926.3293145,0.005071401596069336,,
1724794926.3756092,,0.05171561241149902,
1724794926.3820288,0.004870176315307617,,
1724794926.3885176,,,0.058837890625
1724794926.4304662,0.0053348541259765625,,
1724794926.476652,,0.05179333686828613,
1724794926.4798992,0.005584716796875,,
1724794926.4881785,,,0.05745434761047363
1724794926.5261133,0.004849433898925781,,
